"log_id","log_date","log_time","year","month","machine_id","machine_name","machine_model","machine_type","manufacturer","factory_id","factory_name","assembly_line_id","assembly_line_name","temperature","humidity","pressure","vibration","rpm","power","status","health_score","maintenance_alert","efficiency","uptime","downtime","idletime","production_count","errorcode","error_code","last_maintenance_date","next_maintenance_date"
"LOG00000001","04-09-2024","01:40:21",2024,10,"MACH00002","Machine 2","MODEL-3308","Hydraulic Press","ABB","FAC02","Factory 2","LINE002","Assembly Line 2","29.2","52.2","4.27","31.59",3101,"46.16","Idle","98.78","No","70.08",12,5,2,2230,"E002","Error condition E002","16-10-2024","28-05-2024"
"LOG00000002","15-07-2024","21:06:26",2024,4,"MACH00003","Machine 3","MODEL-3540","Conveyor","Fanuc","FAC03","Factory 3","LINE003","Assembly Line 3","75.6","67.7","4.98","22.47",6951,"38.77","Maintenance","55.06","Yes","63.52",3,4,11,5638,"E003","Error condition E003","12-03-2024","15-03-2024"
"LOG00000003","23-10-2024","03:42:16",2024,7,"MACH00004","Machine 4","MODEL-5546","Robot Arm","KUKA","FAC04","Factory 4","LINE004","Assembly Line 4","46.4","32.7","8.48","0.61",8667,"6.97","Error","52.76","Yes","91.76",2,0,10,5262,"E004","Error condition E004","08-05-2024","05-06-2024"
"LOG00000004","25-04-2024","00:28:06",2024,8,"MACH00005","Machine 5","MODEL-5658","Welder","Bosch","FAC05","Factory 5","LINE005","Assembly Line 5","28.3","66.9","9.81","10.71",428,"49.22","Stopped","67.78","Yes","69.57",16,11,24,5761,"E005","Error condition E005","26-02-2024","09-10-2024"
"LOG00000005","11-09-2024","05:14:55",2024,5,"MACH00006","Machine 6","MODEL-7886","Drill","Mitsubishi","FAC06","Factory 6","LINE006","Assembly Line 6","51.4","44.4","5.02","38.99",1014,"45.72","Running","68.98","Yes","72.2",13,19,9,6069,"None","No errors","21-11-2024","12-10-2024"
"LOG00000006","22-04-2024","20:07:51",2024,11,"MACH00007","Machine 7","MODEL-THREEFOURFIVEFOUR","Lathe","Yaskawa","FAC07","Factory 7","LINE007","Assembly Line 7","79.7","68.3","7.64","18.94",4918,"6.03","Idle","82.71","No","68.11",21,11,19,6567,"E001","Error condition E001","25-06-2024","10-12-2024"
"LOG00000007","20-11-2024","22:20:02",2024,7,"MACH00008","Machine 8","MODEL-6593","Compressor","Omron","FAC08","Factory 8","LINE008","Assembly Line 8","31","56.5","5.83","8.86",8290,"48","Maintenance","58.4","Yes","71.38",2,18,10,7505,"E002","Error condition E002","03-05-2024","13-10-2024"
"LOG00000008","10-06-2024","06:57:24",2024,8,"MACH00009","Machine 9","MODEL-8090","CNC Machine","Siemens","FAC01","Factory 1","LINE009","Assembly Line 9","61.4","31","9.16","48.12",6325,"49.22","Error","73.94","No","82.03",5,12,20,609,"E003","Error condition E003","04-10-2024","27-02-2024"
"LOG00000009","05-12-2024","10:26:22",2024,2,"MACH00010","Machine 10","MODEL-9826","Hydraulic Press","ABB","FAC02","Factory 2","LINE010","Assembly Line 10","72.7","36.4","3.43","47.51",2574,"2.9","Stopped","91.96","No","82.41",2,0,13,5544,"E004","Error condition E004","02-02-2024","01-08-2024"
"LOG00000010","07-08-2024","18:19:28",2024,4,"MACH00011","Machine 11","MODEL-6824","Conveyor","Fanuc","FAC03","Factory 3","LINE011","Assembly Line 11","61.3","72.1","4.8","33.57",5764,"0.57","Running","58.76","Yes","84.5",1,14,7,5973,"E005","Error condition E005","22-12-2024","21-08-2024"
